context,observed,expected_mean,expected_std,fold_enrichment,p_enrichment
promoter,1839,1445.6,34.45736496019392,1.272136137244051,0.004975124378109453
five_prime_UTR,111,319.845,17.580698933773938,0.3470430990010786,1.0
three_prime_UTR,122,318.835,16.93156150507094,0.3826430598899117,1.0
exon,163,1697.14,39.82813578363918,0.09604393273389349,1.0
intron,767,948.495,27.122130723820355,0.8086494920901006,1.0
intergenic,3640,1912.085,35.99205155308599,1.9036810602039136,0.004975124378109453
