feature,trait,r2_real,r2_null_mean,r2_null_std,r2_null_max,p_empirical,r2_structure,beats_null,n_null
any_snp,FT16,0.2976324729101314,0.29732891691073976,0.02926210903228228,0.35283419623707357,0.5483870967741935,-0.0016453293667404445,False,30
any_snp,FT10,0.30062168082314633,0.27731460793297874,0.054033988403269485,0.3924146282955744,0.3870967741935484,-0.0020292254862992465,False,30
stem_snp,FT16,0.3002655819353708,0.2944561644375067,0.04256252880358368,0.38851882605469046,0.4838709677419355,-0.0016453293667404445,False,30
stem_snp,FT10,0.2983716960567847,0.2880423111776507,0.04669511210754968,0.40037387888063125,0.4838709677419355,-0.0020292254862992465,False,30
ddg,FT16,0.2966702552155689,0.29213169197325095,0.042503215570898444,0.3853532228637149,0.4838709677419355,-0.0016453293667404445,False,30
ddg,FT10,0.30419650946172705,0.2940206080148025,0.05327287811727438,0.39712594975366233,0.5161290322580645,-0.0020292254862992465,False,30
